index,true_class,predicted_class,score_base,score_shap,winner,specificity_base,specificity_shap,usefulness_base,usefulness_shap,reason
17,annual crop land,annual crop land,8,7,base,4,3,4,4,"Explanation A provides more specific visual features and a clearer connection to the prediction, making it slightly more informative overall."
18,annual crop land,annual crop land,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer connection to the prediction, making it slightly more informative overall."
19,annual crop land,annual crop land,9,7,base,5,3,4,4,"Explanation A provides more specific visual details and a clearer connection between features and the predicted class, making it more informative overall."
20,forest,forest,4,8,SHAP,2,5,2,3,"Explanation B provides multiple concrete visual features and a clearer connection to the predicted class, making it more specific and useful than A."
21,forest,forest,8,9,SHAP,4,5,4,4,"Explanation B provides more precise spatial details and multiple specific visual features, making it slightly clearer and more informative."
22,forest,forest,7,8,SHAP,3,4,4,4,"Explanation B provides more specific spatial details and clearer visual feature descriptions, making it slightly more informative and helpful."
23,forest,forest,7,8,SHAP,3,4,4,4,"Explanation B provides more specific spatial details and clearer visual features, making it slightly more informative and useful."
24,forest,forest,7,6,base,4,3,3,3,"Explanation A provides more concrete visual details about texture and color variations, making it slightly more specific and helpful in understanding the model's reasoning."
25,forest,forest,9,7,base,5,3,4,4,"Explanation A provides more detailed and multiple specific visual features, making it clearer and more informative than B."
26,forest,forest,6,8,SHAP,3,5,3,3,"Explanation B provides more concrete and localized visual features, making it more specific and thus more helpful in understanding the model's reasoning."
27,forest,forest,7,8,SHAP,3,4,4,4,"Explanation B provides more specific spatial details and color observations, making it slightly clearer and more informative than A."
28,forest,forest,8,9,SHAP,4,5,4,4,"Explanation B provides more detailed and specific visual features, especially regarding spatial layout and texture regions, making it slightly more informative."
29,forest,forest,7,8,SHAP,3,4,4,4,"Explanation B provides more precise spatial details and clearer visual features, making it slightly more specific and helpful."
30,forest,forest,6,8,SHAP,3,5,3,3,"Explanation B provides more specific visual features and spatial details, making it clearer and more informative than A."
31,forest,forest,7,6,base,3,3,4,3,"Explanation A provides a clearer connection between visual features and the forest prediction with more contextual detail, making it more useful despite both having similar specificity."
32,forest,forest,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and spatial layout details, making it slightly more informative and specific than B."
33,forest,forest,6,8,SHAP,3,5,3,3,"Explanation B provides more specific visual details about location, texture, and color, making it clearer and more concrete than A."
34,forest,forest,4,9,SHAP,3,5,1,4,"Explanation B provides multiple specific visual features and clearly connects them to the prediction, making it more helpful and detailed than A."
35,forest,forest,9,8,base,5,4,4,4,"Explanation A provides more detailed and varied specific visual features, making it slightly more informative and clear than B."
36,forest,forest,6,8,SHAP,3,4,3,4,"Explanation B provides more specific visual details and clearer connections between features and the predicted class, making it more helpful overall."
37,forest,forest,5,8,SHAP,2,5,3,3,"Explanation B provides multiple concrete visual features with clear spatial references, making it more specific and thus more helpful in understanding the model's reasoning."
38,forest,forest,8,9,SHAP,4,5,4,4,"Explanation B provides more precise spatial details and richer descriptions of visual features, making it slightly more specific and helpful."
39,forest,forest,7,8,SHAP,4,4,3,4,"Explanation B provides equally specific visual features but offers a clearer connection to the prediction, making it more helpful for understanding the model's reasoning."
40,highway or road,highway or road,8,7,base,4,3,4,4,"Explanation A provides more concrete visual details and spatial context, making it slightly more specific and helpful than B."
41,highway or road,highway or road,9,7,base,5,3,4,4,"Explanation A provides more detailed and concrete visual features, making it more specific and slightly more helpful in understanding the model's reasoning."
42,highway or road,highway or road,8,7,base,4,3,4,4,"Explanation A provides more multiple specific visual features and a clearer spatial layout connection, making it slightly more detailed and helpful."
43,highway or road,highway or road,8,7,base,4,3,4,4,"Explanation A provides more detailed and concrete visual features, making it clearer and more specific than B, though both are similarly useful."
44,highway or road,highway or road,8,8,Tie,4,4,4,4,"Both explanations provide similarly specific visual features and clear connections to the predicted class, making them equally helpful."
45,highway or road,highway or road,9,7,base,5,3,4,4,"Explanation A provides more detailed and concrete visual features, making it more specific and slightly more helpful in understanding the model's reasoning."
46,highway or road,highway or road,9,8,base,5,4,4,4,"Explanation A provides more detailed and concrete visual features, including curvature and intersections, making it slightly more specific and helpful than B."
47,highway or road,highway or road,8,7,base,4,3,4,4,"Explanation A provides more concrete and varied visual features, making it slightly more specific and helpful in understanding the model's reasoning."
48,highway or road,highway or road,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer spatial layout description, making it slightly more informative and specific than B."
49,highway or road,highway or road,7,8,SHAP,3,4,4,4,"Explanation B provides more concrete visual details like 'straight, continuous white line' and 'parallel lines and linear structure,' making it slightly more specific and equally useful compared to A."
50,highway or road,highway or road,7,9,SHAP,3,5,4,4,"Explanation B provides more concrete and localized visual details, making it clearer and more specific in connecting features to the prediction."
51,highway or road,highway or road,7,8,SHAP,3,4,4,4,"Explanation B provides more precise spatial details and clearer descriptions of visual features, making it slightly more specific and helpful."
52,highway or road,highway or road,7,9,SHAP,3,5,4,4,"Explanation B provides more detailed and concrete visual features, making it clearer and more specific while maintaining similar usefulness to Explanation A."
53,highway or road,highway or road,9,7,base,5,3,4,4,"Explanation A provides more detailed and concrete visual features, making it more specific and slightly more helpful in understanding the model's reasoning."
54,highway or road,highway or road,9,8,base,5,4,4,4,"Explanation A provides more detailed and varied specific visual features, making it slightly clearer and more informative than B."
55,highway or road,highway or road,8,9,SHAP,4,5,4,4,"Explanation B provides more precise and multiple concrete visual features with clear spatial references, making it slightly more specific and helpful."
56,highway or road,highway or road,9,8,base,5,4,4,4,"Explanation A provides more detailed and concrete visual features, making it slightly more specific and helpful in understanding the model's reasoning."
57,highway or road,highway or road,8,8,Tie,4,4,4,4,"Both explanations provide similarly detailed and clear descriptions of visual features and their connection to the predicted class, making them equally effective."
58,highway or road,highway or road,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer spatial context, making it slightly more detailed and helpful."
59,highway or road,highway or road,8,9,SHAP,4,5,4,4,"Explanation B provides more detailed and concrete visual features, including specific regions and textures, making it slightly more informative and specific than A."
60,industrial buildings or commercial buildings,industrial buildings or commercial buildings,7,9,SHAP,3,5,4,4,"Explanation B provides more concrete and multiple specific visual features, making it clearer and more detailed, while both are similarly useful."
61,industrial buildings or commercial buildings,industrial buildings or commercial buildings,9,8,base,5,4,4,4,"Explanation A provides more detailed and concrete visual features with clearer spatial descriptions, making it slightly more specific and helpful."
62,industrial buildings or commercial buildings,industrial buildings or commercial buildings,9,9,Tie,5,5,4,4,"Both explanations provide multiple specific visual features and clearly connect them to the predicted class, making them equally informative and useful."
63,industrial buildings or commercial buildings,industrial buildings or commercial buildings,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer overall description, making it slightly more informative and useful."
64,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,9,SHAP,4,5,4,4,"Explanation B provides more precise and concrete visual details, making it slightly more specific and helpful in understanding the model's reasoning."
65,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,9,SHAP,4,5,4,4,"Explanation B provides more detailed and varied specific visual features, making it slightly clearer and more informative while both are similarly useful."
66,industrial buildings or commercial buildings,industrial buildings or commercial buildings,9,9,Tie,5,5,4,4,"Both explanations provide multiple specific visual features and clearly connect them to the predicted class, making them equally informative and useful."
67,industrial buildings or commercial buildings,industrial buildings or commercial buildings,7,8,SHAP,3,4,4,4,"Explanation B provides more precise spatial details and specific visual features, making it slightly more informative and clearer in connecting features to the prediction."
68,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,8,Tie,4,4,4,4,"Both explanations provide multiple specific visual features and clear connections to the predicted class, making them equally informative and useful."
69,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,7,base,4,3,4,4,"Explanation A provides more specific visual details and a clearer spatial context, making it slightly more informative and useful than B."
70,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,9,SHAP,4,5,4,4,"Explanation B provides more concrete and varied visual features with clear spatial references, making it slightly more specific and equally useful compared to A."
71,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,9,SHAP,4,5,4,4,"Explanation B provides more precise spatial details and multiple concrete visual features, making it slightly clearer and more specific than A."
72,industrial buildings or commercial buildings,industrial buildings or commercial buildings,7,9,SHAP,3,5,4,4,"Explanation B provides more detailed and concrete visual features with clear spatial references, making it more specific and slightly more helpful for understanding the model's reasoning."
73,industrial buildings or commercial buildings,industrial buildings or commercial buildings,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer spatial layout description, making it slightly more informative and specific than B."
74,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,8,Tie,4,4,4,4,"Both explanations provide multiple specific visual features and clear connections to the predicted class, making them equally informative and useful."
75,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,9,SHAP,4,5,4,4,"Explanation B provides more detailed and varied specific visual features, making it slightly clearer and more informative than A."
76,industrial buildings or commercial buildings,industrial buildings or commercial buildings,9,8,base,5,4,4,4,"Explanation A provides more detailed and varied specific visual features, making it slightly clearer and more informative than B."
77,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,9,SHAP,4,5,4,4,"Explanation B provides more precise and multiple specific visual features with clear spatial references, making it slightly more informative and specific than A."
78,industrial buildings or commercial buildings,industrial buildings or commercial buildings,8,7,base,4,3,4,4,"Explanation A provides more multiple specific visual features and clearer spatial layout details, making it slightly more informative and useful."
79,industrial buildings or commercial buildings,industrial buildings or commercial buildings,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and slightly clearer connections to the predicted class, making it more informative overall."
80,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides a more comprehensive and detailed description of multiple specific visual features, making it slightly more informative and specific than B."
81,residential buildings or homes or apartments,residential buildings or homes or apartments,9,7,base,5,3,4,4,"Explanation A provides more concrete and multiple specific visual features, making it clearer and more detailed than B."
82,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides a more detailed and varied description of visual features, making it slightly more specific and helpful than B."
83,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides more specific visual details such as 'distinct road network,' 'uniformly sized and spaced rectangular shapes,' and 'separated plots,' making it slightly more detailed and helpful than B."
84,residential buildings or homes or apartments,residential buildings or homes or apartments,7,8,SHAP,3,4,4,4,"Explanation B provides more concrete spatial details and specific regions, making it slightly more specific and equally useful for understanding the model's reasoning."
85,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides more detailed and concrete visual features, making it slightly more specific and helpful in understanding the model's reasoning."
86,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides more detailed and concrete visual features, making it slightly more specific and helpful in understanding the model's reasoning."
87,residential buildings or homes or apartments,residential buildings or homes or apartments,8,9,SHAP,4,5,4,4,"Explanation B provides more precise spatial details and clearer connections between visual features and the predicted class, making it slightly more specific and useful."
88,residential buildings or homes or apartments,residential buildings or homes or apartments,9,9,Tie,5,5,4,4,"Both explanations provide multiple specific visual features and clear connections to the predicted class, making them equally informative and useful."
89,residential buildings or homes or apartments,residential buildings or homes or apartments,8,9,SHAP,4,5,4,4,"Explanation B provides more specific visual details such as texture and color variations along with shapes and patterns, making it slightly more informative and helpful."
90,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides more specific visual details such as varying shades indicating different roofs, making it slightly more informative and specific than B."
91,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer overall description, making it slightly more informative and useful."
92,residential buildings or homes or apartments,residential buildings or homes or apartments,9,7,base,5,3,4,4,"Explanation A provides more detailed and concrete visual features, making it more specific and slightly more helpful for understanding the model's reasoning."
93,residential buildings or homes or apartments,residential buildings or homes or apartments,8,9,SHAP,4,5,4,4,"Explanation B provides more detailed and concrete visual features, making it slightly more specific and helpful in understanding the model's reasoning."
94,residential buildings or homes or apartments,residential buildings or homes or apartments,8,8,Tie,4,4,4,4,"Both explanations provide multiple specific visual features and clearly connect them to the predicted class, making them equally informative and useful."
95,residential buildings or homes or apartments,residential buildings or homes or apartments,8,8,Tie,4,4,4,4,"Both explanations provide multiple specific visual features and clearly connect them to the predicted class, making them equally informative and useful."
96,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides more detailed and multiple specific visual features, making it slightly more informative and specific than B."
97,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides more specific visual details and clearer descriptions, making it slightly more informative and precise than B."
98,residential buildings or homes or apartments,residential buildings or homes or apartments,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer overall description, making it slightly more specific and useful than B."
99,residential buildings or homes or apartments,residential buildings or homes or apartments,9,7,base,5,3,4,4,"Explanation A provides more concrete and varied visual features, making it more specific and slightly more helpful for understanding the model's reasoning."
100,river,river,8,7,base,4,3,4,4,"Explanation A provides more concrete and varied visual features, making it slightly more specific and helpful in understanding the model's reasoning."
101,river,river,9,8,base,5,4,4,4,"Explanation A provides more specific visual details such as color contrasts and texture patterns, making it slightly clearer and more informative than B."
102,river,river,9,7,base,5,3,4,4,"Explanation A provides more concrete and varied visual features, making it more specific and slightly more helpful in understanding the model's reasoning."
103,river,river,9,8,base,5,4,4,4,"Explanation A provides more specific visual details and a clearer spatial description, making it slightly more informative and precise than B."
104,river,river,8,9,SHAP,4,5,4,4,"Explanation B provides more detailed and concrete visual features, making it slightly more specific and helpful in understanding the model's reasoning."
105,river,river,7,9,SHAP,4,5,3,4,"Explanation B provides more concrete visual details and clearer connections between features and the predicted class, making it more helpful overall."
106,river,river,9,8,base,5,4,4,4,"Explanation A provides more detailed and concrete visual features, making it slightly more specific and helpful in understanding the model's reasoning."
107,river,river,8,9,SHAP,4,5,4,4,"Explanation B provides more precise and multiple specific visual features, making it slightly clearer and more detailed than A."
108,river,river,9,8,base,5,4,4,4,"Explanation A provides more specific visual details such as texture and contrast, making it slightly clearer and more informative than B."
109,river,river,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer spatial layout description, making it slightly more detailed and helpful."
110,river,river,9,7,base,5,3,4,4,"Explanation A provides more detailed and concrete visual features, making it more specific and slightly more helpful for understanding the model's reasoning."
111,river,river,9,8,base,5,4,4,4,"Explanation A provides more concrete and multiple specific visual features, making it slightly clearer and more detailed than B."
112,river,river,9,8,base,5,4,4,4,"Explanation A provides more detailed and concrete visual features, making it slightly more specific and helpful in understanding the model's reasoning."
113,river,river,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer connection to the prediction, making it slightly more informative overall."
114,river,river,9,8,base,5,4,4,4,"Explanation A provides more multiple specific visual features and a clearer spatial layout description, making it slightly more detailed and helpful."
115,river,river,8,9,SHAP,4,5,4,4,"Explanation B provides more precise spatial details and clearer visual contrasts, making it slightly more specific and equally useful for understanding the model's reasoning."
116,river,river,8,9,SHAP,4,5,4,4,"Explanation B provides more specific visual details including color and exact spatial references, making it slightly clearer and more informative."
117,river,river,7,9,SHAP,3,5,4,4,"Explanation B provides more concrete and detailed visual features with clear spatial references, making it more specific and equally useful compared to A."
118,river,river,9,7,base,5,3,4,4,"Explanation A provides more concrete and varied visual details, making it more specific and slightly more helpful in understanding the model's reasoning."
119,river,river,9,9,Tie,5,5,4,4,"Both explanations provide multiple specific visual features and clear connections to the prediction, making them equally informative and useful."
