true_class,predicted_class,confidence,gradcam_region,xai_explanation,image_idx
annual crop land,annual crop land,99.9,"top-left region, strongly activated","The model likely predicted ""annual crop land"" because the top-left region shows features typical of agricultural fields. This area has a pattern of rectangular plots with clear boundary lines, which are characteristic of managed fields used for cropping. The overall texture and uniformity suggest organized cultivation, which aligns with the structural appearance of annual crops.",10
annual crop land,annual crop land,100.0,"top-left region, strongly activated","The model likely predicted ""annual crop land"" because the top-left region shows distinct geometric patterns and coloration. These features are indicative of agricultural fields, characterized by regular, rectangular shapes typical of human-managed landscapes. The variation in color suggests different stages of crop growth or different types of crops, commonly seen in fields that are harvested and replanted annually.",11
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model's prediction of ""annual crop land"" is supported by the geometric patterns in the bottom-right region, where the field is divided into distinct, rectangular plots. These plots typically indicate agricultural zones designed for planting and harvesting crops. The uniform texture and consistent color variations suggest monoculture practices, which are common in annual cropping systems. This organized spatial layout is characteristic of agricultural fields.",12
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" because of the distinct geometric patchwork visible in the bottom-right region, characterized by regular, straight boundaries. This area shows a uniform texture and color, which is typical of cultivated fields that are planted and harvested annually. The sharp contrasts between different plots suggest active agricultural management, reinforcing the prediction.",13
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" due to the distinct geometric shapes and patterns observed in the image, such as the rectangular plots in the bottom-right region. These shapes are characteristic of agricultural fields, which are often organized in a grid-like pattern. The variation in color and texture within these plots suggests different types of crops or stages of growth, typical of areas under active cultivation.",14
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" because the highlighted bottom-right region shows distinct rectangular plots with uniform textures, indicative of human cultivation patterns. The clear linear boundaries and consistent coloration suggest managed agricultural land, which aligns with the characteristics of crops planted in regular intervals. These features are typical of fields used for growing annual crops.",15
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model likely predicted ""annual crop land"" because the bottom-right region shows a patchwork of rectangular or square plots with distinct, sharp boundaries, typical of cultivated fields. The variation in color within these plots suggests different growth stages or types of crops, consistent with agricultural activity. The organized layout and uniformity are characteristic of managed farming areas, which are typical features of annual crop lands.",16
annual crop land,annual crop land,100.0,"bottom-left region, strongly activated","The model likely predicted ""annual crop land"" based on the distinct texture and color patterns in the bottom-left region, which suggest cultivated fields. The area may exhibit linear, organized rows consistent with planting patterns, contrasting with more irregular or natural landscapes. The uniform color could indicate recently tilled soil or planted crops typical in agricultural settings.",17
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model predicted ""annual crop land"" likely because the bottom-right region shows organized, rectangular shapes indicative of cultivated field plots. The visible boundaries and linear patterns suggest the presence of agricultural practices typically associated with crop farming. The uniform color and texture in this area suggest specific seasonal growth cycles characteristic of annual crops.",18
annual crop land,annual crop land,100.0,"bottom-right region, strongly activated","The model likely identified the highlighted region as ""annual crop land"" due to the presence of distinct, geometric, and linear patterns typical of agricultural fields. The visible block-like shapes and straight lines suggest organized plots found in crop farming. These features, especially their parallel nature, are characteristic of areas used for planting and harvesting crops annually.",19
forest,forest,100.0,"top-right region, strongly activated","The model predicted ""forest"" because the top-right region of the image likely contains patterns that resemble tree cover, such as dense, textured areas that are consistent with foliage. The colors in this region, emphasizing various shades of green or similar tones, suggest vegetation. Additionally, the spatial arrangement might show irregular, natural patterns typical of forested areas rather than geometric or structured formations. These visual features strongly correlate with what the model has learned to associate with forests.",0
forest,forest,100.0,"top-left region, strongly activated","The model predicted ""forest"" likely due to the dense and textured green patterns in the top-left region of the image. This area shows irregular, organic shapes typical of tree canopies viewed from above. The dense clustering and uneven distribution of shades could denote the varied heights and overlapping foliage characteristic of forested areas. This pattern is distinct from the uniformity found in fields or bodies of water.",1
forest,forest,100.0,"bottom-right region, strongly activated","The model likely predicted the class as ""forest"" due to the unique texture and pattern in the bottom-right region of the image. This area shows a uniform, dense pattern typical of tree canopies when viewed from a satellite perspective. The color variation, combining different shades of green, could also resemble the natural variation found in a forest area, further reinforcing the model's prediction.",2
forest,forest,100.0,"top-right region, strongly activated","The model likely predicted ""forest"" due to the dense, textured pattern observed in the highlighted region, which is characteristic of tree canopies in satellite imagery. The varied shades of green and subtle, irregular shapes suggest a natural, vegetative landscape. These specific visual features typically indicate the presence of a forested area.",3
forest,forest,99.9,"top-right region, strongly activated","The model likely predicted ""forest"" because the top-right region shows a texture and color that resembles dense vegetation. The darker blue areas could suggest the presence of shadows cast by trees, indicating height and density typical of forests. Additionally, the overall pattern and variation in tone may mimic the natural distribution of tree canopies.",4
forest,forest,99.4,"bottom-right region, strongly activated","The model likely predicted ""forest"" due to the dense texture and uniform, green-toned patterns in the bottom-right region. These characteristics resemble tree canopies seen from above, which often appear as clustered, textured patches in satellite imagery. The consistent coloration and shape suggest vegetation coverage typical of forested areas.",5
forest,forest,99.9,"bottom-right region, strongly activated","The model predicted ""forest"" likely due to the dense, uniform texture and the dark green color visible in the bottom-right region, which are characteristic features of forested areas in satellite imagery. This area shows a consistent, organic pattern without clear interruptions, suggesting a continuous canopy typical of forest landscapes. The coloration and texture contrast with less vegetated or developed areas, reinforcing the classification.",6
forest,forest,99.9,"bottom-right region, strongly activated","The model likely identified a forest due to the dense, textured pattern visible in the bottom-right region, which suggests a canopy of tree cover. This area exhibits irregular, varied shapes typical of treetops when viewed from above. The uniformity in coloration and texture further reinforces the presence of a continuous vegetative surface, characteristic of forested areas.",7
forest,forest,100.0,"top-right region, strongly activated","The model likely predicted ""forest"" because the top-right region of the image may contain textures or patterns typical of forested areas, such as a dense, mottled appearance indicating tree canopies. This region might exhibit variability in shades of green, suggesting the presence of varying vegetation types typical of a forest. Additionally, the spatial pattern could show clustering, which aligns with how trees are distributed in a forest.",8
forest,forest,99.1,"top-right region, strongly activated","The model likely predicted ""forest"" due to the dense, dark green areas visible in the top-right region. The texture is consistent with tree canopies, which often form a continuous, irregular pattern. The winding road or river cutting through the landscape further suggests a forested environment, as such features are common in natural, heavily wooded areas. These visual cues correspond to common forest characteristics, aiding in the model's classification.",9
forest,forest,100.0,"top-right region, strongly activated","The model likely predicted ""forest"" due to the dense texture and uniformity of the highlighted top-right region. This area contains irregular patterns and variations in color that are characteristic of treetop canopies. The spatial distribution of these patterns suggests a natural, continuous coverage typical of a forested area, distinguishing it from urban or agricultural landscapes.",10
forest,forest,100.0,"top-right region, strongly activated","The model likely predicted ""forest"" because the top-right region of the image may exhibit textural patterns and color variations similar to dense canopy cover, such as a mixture of greens and textures that resemble tree tops. These characteristics are commonly associated with forested areas in satellite imagery. The model focuses on these specific features, which are distinct indicators of a forest environment.",11
forest,forest,99.9,"bottom-right region, strongly activated","The model likely predicted ""forest"" because the highlighted bottom-right region shows dense, textured patterns resembling tree canopies. This area exhibits irregular boundaries typical of forested regions, with varying shades of green that suggest different types of vegetation. The textures and natural, organic shapes in this area are key indicators associated with forest environments in satellite imagery.",12
forest,forest,100.0,"top-right region, strongly activated","The model likely predicted the class ""forest"" because the top-right region, which strongly influenced the prediction, shows a dense, textured pattern typical of tree canopies. The variations in blue shades might indicate the presence of shadowing and depth, suggesting a thick coverage often seen in forested areas. Additionally, the irregular distribution of these textures is consistent with the natural, non-linear growth typical of forests.",13
forest,forest,100.0,"bottom-right region, strongly activated","The CNN model predicted ""forest"" likely because the bottom-right region contains textures and colors typically associated with dense foliage, such as varying shades of green and complex patterns. This area might show the uneven, dappled textures indicative of tree canopies and shadows, which are common in forested landscapes. The model's focus on this area suggests it recognized these specific visual cues as characteristic of forests.",14
forest,forest,99.9,"bottom-right region, strongly activated","The model's prediction of ""forest"" is likely due to the presence of dense, irregular patterns and textures in the highlighted bottom-right region. This area might display a mix of dark and light patches, resembling tree canopies and shadows typical of forested landscapes. The texture likely differs from smooth or uniform patterns, which suggests natural vegetation rather than urban or barren landscapes.",15
forest,forest,100.0,"bottom-right region, strongly activated","The model likely predicted ""forest"" because the bottom-right region, where its attention was focused, may exhibit textures and patterns characteristic of forested areas. These could include irregular, dense patches suggestive of tree canopies, and variations in color indicating different types of vegetation. Such features are typically associated with forests in satellite imagery, guiding the model to this classification.",16
forest,forest,100.0,"top-right region, strongly activated","The image primarily shows a uniformly textured area with variations in blue tones, which might generally indicate water rather than a forest. However, if the focus region includes subtle textural features such as a patchiness or distinct separations suggestive of tree canopies, this could lead the model to interpret the features as dense foliage typical of forests. It's possible that noise or misclassification occurred if the textures resemble treetop patterns typically associated with forested areas.",17
forest,forest,100.0,"top-right region, strongly activated","The model likely predicted ""forest"" because the top-right region shows a dense and textured pattern typical of tree canopies. This area features variations in color with patches of dark green, indicating a mix of vegetation density and possibly taller trees. The texture and color distribution are consistent with how forests appear in satellite imagery, suggesting a natural, vegetative landscape.",18
forest,forest,100.0,"bottom-right region, strongly activated","The model likely predicted ""forest"" because the bottom-right region, where it focused, shows a dense, irregular pattern typical of tree canopies. The texture is consistent with the varied heights and shadows that clusters of trees create. The overall color is a consistent shade of green, which is common in forested areas. These features collectively align with the characteristics the model associates with forests.",19
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" due to the presence of a long, straight, and uniformly colored area in the bottom-right region of the image. This section is characterized by a consistent width and a linear pattern, typical attributes of roads or highways. Additionally, the contrasting color and texture compared to surrounding areas may have contributed to the model's identification of this feature as a roadway.",0
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model predicts ""highway or road"" likely because the bottom-right region features straight, elongated shapes characteristic of roads. This area shows a distinct, linear pattern that contrasts with the adjacent green spaces and structures, typical of a highway layout. The smooth, continuous texture further supports the presence of a paved surface, reinforcing the model's classification.",1
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The image shows a network of intersecting roads with curved patterns, including what appears to be a cloverleaf interchange—characterized by loops and ramps typical of highway structures. The model likely focused on the smooth, continuous lines and junctions in the bottom-right region, which are indicative of roadways. The presence of multiple lanes and the distinct curvature support the model’s prediction of a highway or road.",2
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" due to the distinct shapes and patterns visible in the bottom-right region. This area shows linear structures intersecting at various angles, typical of roads or highways with multiple lanes and junctions. The curvature and connected pathways suggest the existence of an interchange or complex road network, which is a characteristic feature of highways. The texture and consistent width of these lines also support the identification of this area as a road system.",3
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" due to the straight, linear feature running diagonally across the lower-right region of the image, which is characteristic of roads. The consistent width and the contrasting texture against surrounding areas further suggest a man-made structure. This distinct pattern, typical of roads, reinforces the model's focus in identifying it as a highway or road.",4
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" because of the visible linear pattern in the bottom-right region of the image, which is characteristic of roads. This area shows a smooth, elongated shape that is consistent with typical road surfaces, often appearing as shades of gray or similar tones. The orientation and continuity of this pattern suggest a constructed pathway or route, reinforcing the classification as a road or highway.",5
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" because the bottom-right region features a long, linear structure with parallel lines and consistent coloration, indicative of roadways. This area shows a clear, defined path with a smoother texture compared to the surrounding regions. The spatial pattern resembles a typical transportation route, with potential intersections or exits visually apparent, supporting the model's classification.",6
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted the class ""highway or road"" because the bottom-right region shows a linear, elongated shape typical of roadways. This area features a smooth, consistent texture and a clear, continuous path flanked by parallel lines, suggesting lanes. These characteristics align with common visual patterns of roads visible from a satellite perspective.",7
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" because the bottom-right region shows a long, narrow, and straight feature with parallel lines, resembling typical road markings or lane dividers. The surrounding environment appears uniform, consistent with paved surfaces, and the orientation is typical of roads seen in aerial views. The linear pattern and contrasting surface against the background further support the identification as a road.",8
highway or road,highway or road,100.0,"top-right region, strongly activated","The model likely predicted ""highway or road"" because the top-right region features a distinct linear shape, which is a common characteristic of roads or highways. The presence of a consistent width and a straight or gently curving line pattern in this area suggests a man-made structure. Additionally, the contrasting color against the surrounding areas may indicate a surface connected to transportation infrastructure. These visual cues align with features typically seen in satellite images of roads or highways.",9
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" because of the straight and parallel lines visible in the bottom-right region, which are characteristic of roads. The texture and layout suggest a paved surface, typical of highways. This region also shows a pattern of intersections or lanes, reinforcing the likelihood of it being a road network.",10
highway or road,highway or road,100.0,"top-right region, strongly activated","The model likely predicted ""highway or road"" due to the presence of linear, elongated features in the top-right region, which are characteristic of roads. These features may exhibit parallel lines and consistent curvature indicative of roadways. The smooth, uniform texture also aligns with typical highway surfaces, contrasting with the surrounding areas. Additionally, the spatial pattern suggests connectivity and directionality, reinforcing the identification of a road or highway.",11
highway or road,highway or road,100.0,"bottom-left region, strongly activated","The model likely predicted ""highway or road"" because the bottom-left region shows a distinct linear pattern characteristic of roads, with smooth, continuous lines that resemble road lanes. Additionally, there are visible intersections or roundabouts, common features in highway systems. These spatial arrangements and shapes are typical indicators of road infrastructure, supporting the model's prediction.",12
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" because the bottom-right region shows a distinct linear feature that resembles typical highway structures. This area features smooth, elongated shapes with clear, parallel lines indicative of lanes, which are characteristic of roads. Additionally, the convergence of lines suggests an interchange or off-ramp, reinforcing the highway classification.",13
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" because the highlighted bottom-right region contains a long, straight, and narrow feature that is characteristic of roads. This feature has a uniform texture and coloration that contrasts with the surrounding areas, suggesting a paved or maintained surface. Additionally, the sharp linear boundaries indicate man-made construction typical of highways or roads.",14
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" due to the presence of long, straight, and parallel lines in the bottom-right region, which are typical of roadways. The texture in this area is consistent with road surfaces, potentially including markings or lanes. Additionally, the spatial pattern suggests a linear layout commonly associated with roads, which contrasts with the more irregular structures elsewhere in the image.",15
highway or road,highway or road,100.0,"bottom-right region, strongly activated","The model likely predicted the class as ""highway or road"" due to the linear shape and consistent width of the feature in the bottom-right region, which is characteristic of roads. This area also contrasts with the surrounding patches, suggesting a constructed path rather than natural terrain. The texture of this region is smoother and more uniform, aligning with paved surfaces typically found in road networks.",16
highway or road,highway or road,89.7,"bottom-right region, strongly activated","The model likely predicted ""highway or road"" because the bottom-right region shows a linear, elongated feature consistent with roads. This area has smooth, uniform textures and consistent width, which are typical characteristics of paved surfaces. Additionally, the alignment and edges suggest a constructed pathway, indicative of human-made infrastructure.",17
highway or road,highway or road,98.0,"top-right region, strongly activated","The model likely predicted ""highway or road"" because of the elongated, linear structure visible in the image. This structure is consistent with the typical shape and alignment of a road or highway. The uniform texture and lighter color along the top-right region of the image further suggest a man-made surface, characteristic of paved roads. This spatial pattern strongly indicates the presence of a transportation route.",18
highway or road,highway or road,100.0,"bottom-right region, strongly activated","In the highlighted bottom-right region, the model likely focused on distinct features such as the long, narrow, and linear structure that cuts across the landscape, characteristic of roads or highways. The contrast between the dark-colored linear path and the lighter surrounding areas suggests the presence of a paved surface, typical in road infrastructure. Additionally, the uniform width and consistent texture along the stretch support the prediction of a highway or road.",19
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of large, rectangular structures with uniform rooftops in the bottom-right region of the image. These buildings also appear closely packed, which is typical of industrial or commercial areas. The distinct straight lines and geometric patterns suggest organized construction, common in such zones. Additionally, the visible color contrasts and layout resemble those found in industrial complexes.",0
industrial buildings or commercial buildings,industrial buildings or commercial buildings,99.9,"top-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of distinct, large, circular structures in the highlighted top-right region, reminiscent of storage tanks typically found in industrial facilities. The arrangement of these structures in a grid-like pattern, along with the clear separation between them, suggests an organized, industrial layout. Additionally, the presence of rectangular buildings connected by access pathways supports the identification of an area designed for industrial or commercial use.",1
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-left region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" because the bottom-left region shows large, geometric structures with straight lines and sharp angles, typical of industrial or commercial layouts. The presence of flat, expansive roofs suggests warehouse or factory-like buildings. Additionally, the arrangement in a grid pattern is characteristic of planned, commercial areas. These features together strongly indicate the function typically associated with industrial or commercial use.",2
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"top-left region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" because the top-left region of the image shows a concentration of rectangular structures arranged in a grid-like pattern, typical of industrial or commercial areas. The gray, uniform rooftops and the presence of multiple large buildings suggest facilities or warehouses. The spatial organization and layout are characteristic of industrial zones, helping the model identify the setting.",3
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" because the bottom-right region shows structures with flat, expansive rooftops typically associated with warehouses or factories. The rectangular shapes and dense arrangement of buildings suggest a commercial or industrial complex. Additionally, the surrounding grid-like road patterns and large building footprints are characteristic of areas designed for industrial or commercial use.",4
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of distinct rectangular structures in the bottom-right region, which are characteristic of such facilities. These structures often have flat roofs and a grid-like arrangement, indicating organized layouts typical of industrial areas. The layout and shapes suggest manufacturing or storage purposes, supporting the prediction.",5
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of large, rectangular structures with flat roofs in the highlighted bottom-right region. These structures often exhibit uniform geometric patterns and contrasting materials—characteristics typical of industrial or commercial facilities. The arrangement of these buildings in a grid-like pattern and the presence of access roads also support this classification.",6
industrial buildings or commercial buildings,industrial buildings or commercial buildings,99.9,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of large, rectangular structures with uniform textures, which are typical of such facilities. The roofs in the bottom-right area appear to have distinct grid-like patterns and varied materials, often seen in warehouses and factories. Additionally, the geometric layout and spacing between buildings suggest an organized, non-residential design typical of industrial or commercial zones.",7
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" because the bottom-right region features structures with large, flat roofs, a common characteristic of such buildings. This area also shows a grid-like pattern of roads and rectangular plots, typical of organized industrial or commercial areas. Additionally, the presence of large parking lots or open areas around the structures reinforces this classification.",8
industrial buildings or commercial buildings,industrial buildings or commercial buildings,98.4,"bottom-right region, strongly activated","The model predicted ""industrial buildings or commercial buildings"" likely because the bottom-right region of the image shows features typical of these structures. This area displays a dense arrangement of rectangular shapes, suggestive of large roofs or warehouse-like structures. There are also straight lines and grid-like patterns characteristic of organized plots, which are common in industrial or commercial zones. Additionally, the presence of large paved surfaces might indicate parking lots or loading areas.",9
industrial buildings or commercial buildings,industrial buildings or commercial buildings,80.1,"bottom-left region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the geometric arrangement and structure in the highlighted bottom-left region. This area shows a grid-like pattern and distinct rectangular shapes typical of buildings and infrastructure. The textures and layout, including possibly visible roads or pathways, are indicative of organized human-made structures commonly seen in industrial or commercial zones.",10
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-left region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" because the highlighted bottom-left region contains features typical of such structures. This area shows strong geometric patterns with large rectangular shapes, consistent with warehouses or factories. The texture suggests a mix of roofing materials often used in industrial settings. Additionally, the arrangement and layout of these elements resemble the organized structure of commercial complexes.",11
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" because the bottom-right region shows large, rectangular structures with high-reflective surfaces, typical of warehouses or factories. The arrangement of the buildings appears grid-like with wide spaces for transport or storage. Additionally, the presence of what seems to be large rooftops or loading docks, common in industrial areas, further supports this classification.",12
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-left region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of large, rectangular structures in the bottom-left region, which are typical of industrial facilities. These structures often have flat roofs and are aligned in a grid-like pattern, indicating organized human planning and development. Additionally, the textures in this area may show distinct boundaries and uniform surfaces commonly associated with warehouses and factories.",13
industrial buildings or commercial buildings,industrial buildings or commercial buildings,99.7,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" because the bottom-right region of the image displays features characteristic of such areas. The presence of large, rectangular, flat-roofed structures suggests warehouses or factories. There are also linear arrangements and grid-like patterns typical of commercial zones. The density and uniformity of the buildings support this classification.",14
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of large, rectangular structures with flat roofs, often indicative of warehouses or factories. The dense clustering of these buildings with uniform spacing suggests a commercial or industrial complex. Additionally, the distinct grid-like road patterns and higher number of large, paved areas can be characteristic of commercial or industrial zones. These features are prominent in the bottom-right region of the image.",15
industrial buildings or commercial buildings,industrial buildings or commercial buildings,99.6,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the dense arrangement of rectangular structures in the bottom-right region. This area features consistent geometric shapes and flat rooftops, characteristic of large buildings found in industrial or commercial zones. The lack of green spaces and the organized layout suggest a planned development typical of these types of areas.",16
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of large, flat-roofed structures in the bottom-right region, which are characteristic of industrial or commercial architecture. The spatial arrangement shows a grid-like pattern typical of planned commercial areas. Additionally, the uniformity and possible roofing materials in this section might indicate large-scale production or storage facilities commonly found in industrial settings. These features collectively suggest a non-residential, organized, and possibly functional zone.",17
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"top-left region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to the presence of large, rectangular structures with flat rooftops, which are characteristic of such areas. The organized layout and straight lines suggest planned construction typical of industrial or commercial zones. Additionally, the top-left region shows features like possible parking areas or loading docks, often found around these types of buildings.",18
industrial buildings or commercial buildings,industrial buildings or commercial buildings,100.0,"bottom-right region, strongly activated","The model likely predicted ""industrial buildings or commercial buildings"" due to visible features in the bottom-right region, such as large, rectangular structures typical of warehouses or factories. These buildings often have flat roofs, which can be seen here alongside possible parking lots or loading areas, commonly associated with industrial or commercial sites. The layout and spacing patterns, which suggest a grid-like arrangement, are consistent with organized commercial or industrial zones.",19
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"top-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" due to the visible arrangement and density of smaller, regular geometric shapes, typical of rooftops in residential areas. The top-right region shows a grid-like pattern and clusters, indicative of housing layouts. The sizes and spacing between these structures suggest a residential setting rather than industrial or commercial.",0
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"top-left region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" because the highlighted region in the top-left displays features typical of residential areas. This includes a dense clustering of small, rectangular shapes that resemble rooftops, arranged in patterns suggesting streets and blocks. The textures and arrangements are consistent with those found in urban or suburban residential layouts. Additionally, the absence of large, open spaces like fields or industrial structures further supports this classification.",1
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" due to the dense clustering of small rectangular shapes, indicative of building rooftops, seen in the bottom-right region. The regular grid-like pattern suggests organized construction typical of residential areas. Additionally, the consistent texture and coloration support the identification of individual structures closely packed together, a common feature in residential zones.",2
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" due to the presence of a grid-like pattern of streets typically associated with residential areas. In the bottom-right region, there are several rectangular structures arranged closely together, resembling buildings with distinct roof patterns. This configuration, along with the layout of roads and the uniform spacing between structures, suggests a residential neighborhood, supporting the model's classification.",3
residential buildings or homes or apartments,residential buildings or homes or apartments,100.0,"bottom-right region, strongly activated","The model likely predicted ""residential buildings or homes or apartments"" because the bottom-right region contains dense, grid-like patterns typical of urban residential areas. This region shows clusters of rectangular shapes arranged systematically, which are characteristic of building blocks. Additionally, the homogeneous texture and repeating patterns align with the structure and layout of residential neighborhoods.",4
